"filename", "language", "JavaScript", "JavaScript React", "CSS", "XML", "Markdown", "JSON", "HTML", "Properties", "comment", "blank", "total"
"d:\maturski\foodsprint_frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\maturski\foodsprint_frontend\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"d:\maturski\foodsprint_frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 18004, 0, 0, 0, 1, 18005
"d:\maturski\foodsprint_frontend\package.json", "JSON", 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 66
"d:\maturski\foodsprint_frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"d:\maturski\foodsprint_frontend\src\App.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 6, 98
"d:\maturski\foodsprint_frontend\src\app\api\apiSlice.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 21, 7, 62
"d:\maturski\foodsprint_frontend\src\app\cartRedux.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 4, 37
"d:\maturski\foodsprint_frontend\src\app\store.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"d:\maturski\foodsprint_frontend\src\app\userRedux.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\maturski\foodsprint_frontend\src\components\ProtectedLayout.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\maturski\foodsprint_frontend\src\components\componentsCheckout\CheckoutComponent.jsx", "JavaScript React", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\maturski\foodsprint_frontend\src\components\componentsCheckout\CheckoutItem.jsx", "JavaScript React", 0, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
"d:\maturski\foodsprint_frontend\src\components\componentsCheckout\InfoCheckout.jsx", "JavaScript React", 0, 319, 0, 0, 0, 0, 0, 0, 4, 16, 339
"d:\maturski\foodsprint_frontend\src\components\componentsCheckout\ItemsCheckout.jsx", "JavaScript React", 0, 73, 0, 0, 0, 0, 0, 0, 4, 7, 84
"d:\maturski\foodsprint_frontend\src\components\componentsCheckout\checkoutComponent.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\maturski\foodsprint_frontend\src\components\componentsCheckout\infoCheckout.css", "CSS", 0, 0, 162, 0, 0, 0, 0, 0, 0, 35, 197
"d:\maturski\foodsprint_frontend\src\components\componentsCheckout\itemsCheckout.css", "CSS", 0, 0, 203, 0, 0, 0, 0, 0, 0, 33, 236
"d:\maturski\foodsprint_frontend\src\components\componentsDostava\AssignedBoxDostavljac.jsx", "JavaScript React", 0, 54, 0, 0, 0, 0, 0, 0, 0, 8, 62
"d:\maturski\foodsprint_frontend\src\components\componentsDostava\DostavaComponent.jsx", "JavaScript React", 0, 67, 0, 0, 0, 0, 0, 0, 2, 5, 74
"d:\maturski\foodsprint_frontend\src\components\componentsDostava\OrderBoxDostavljac.jsx", "JavaScript React", 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"d:\maturski\foodsprint_frontend\src\components\componentsHero\AppBanner.jsx", "JavaScript React", 0, 47, 0, 0, 0, 0, 0, 0, 0, 4, 51
"d:\maturski\foodsprint_frontend\src\components\componentsHero\Faq.jsx", "JavaScript React", 0, 146, 0, 0, 0, 0, 0, 0, 0, 21, 167
"d:\maturski\foodsprint_frontend\src\components\componentsHero\Features.jsx", "JavaScript React", 0, 52, 0, 0, 0, 0, 0, 0, 0, 3, 55
"d:\maturski\foodsprint_frontend\src\components\componentsHero\FoodSprintLogo.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
