Date : 2023-01-28 01:15:17
Directory : d:\maturski\foodsprint_frontend
Total : 132 files,  25085 codes, 119 comments, 1009 blanks, all 26213 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          2 |     18,069 |          0 |          2 |     18,071 |
| JavaScript React |         55 |      3,041 |         42 |        351 |      3,434 |
| CSS              |         29 |      2,062 |          0 |        342 |      2,404 |
| JavaScript       |         35 |      1,827 |         77 |        279 |      2,183 |
| Markdown         |          1 |         38 |          0 |         33 |         71 |
| HTML             |          1 |         32 |          0 |          1 |         33 |
| XML              |          8 |         15 |          0 |          1 |         16 |
| Properties       |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        132 |     25,085 |        119 |      1,009 |     26,213 |
| . (Files)                                                                                  |          4 |     18,108 |          0 |         35 |     18,143 |
| public                                                                                     |          1 |         32 |          0 |          1 |         33 |
| src                                                                                        |        127 |      6,945 |        119 |        973 |      8,037 |
| src (Files)                                                                                |          2 |        114 |          1 |          8 |        123 |
| src\app                                                                                    |          4 |        119 |         23 |         19 |        161 |
| src\app (Files)                                                                            |          3 |         85 |          2 |         12 |         99 |
| src\app\api                                                                                |          1 |         34 |         21 |          7 |         62 |
| src\components                                                                             |         61 |      3,869 |         16 |        480 |      4,365 |
| src\components (Files)                                                                     |          1 |         11 |          0 |          1 |         12 |
| src\components\componentsCheckout                                                          |          7 |        804 |          9 |        102 |        915 |
| src\components\componentsDostava                                                           |          3 |        161 |          2 |         20 |        183 |
| src\components\componentsHero                                                              |         24 |      1,493 |          0 |        181 |      1,674 |
| src\components\componentsHero (Files)                                                      |         19 |      1,488 |          0 |        181 |      1,669 |
| src\components\componentsHero\slike                                                        |          5 |          5 |          0 |          0 |          5 |
